,0
0,onehot_encoding__language_English
1,onehot_encoding__language_Hindi
2,onehot_encoding__language_Korean
3,onehot_encoding__language_Malayalam
4,onehot_encoding__language_Tamil
5,onehot_encoding__language_Telugu
6,onehot_encoding__language_Unknown
7,trigonometric_encoding__key_x
8,trigonometric_encoding__key_y
9,artist_encoding__artist_name
10,album_encoding__album_name
11,follower_encoding__artist_followers
12,genres_encoding__artist_genres
13,artist_popularity_encoding__artist_popularities_max
14,artist_popularity_encoding__artist_popularities_avg
15,numeric_processing__1
16,numeric_processing__acousticness
17,numeric_processing__artist_count
18,numeric_processing__avg_artist_popularity
19,numeric_processing__danceability
20,numeric_processing__duration_ms
21,numeric_processing__energy
22,numeric_processing__instrumentalness
23,numeric_processing__liveness
24,numeric_processing__loudness
25,numeric_processing__speechiness
26,numeric_processing__tempo
27,numeric_processing__time_signature
28,numeric_processing__valence
29,numeric_processing__year
